2024-10-16 21:45:55
68792162,네추럴라이즈 프로바이오틱스 유산균 꾸미 포도요거트맛 2.5g 60구미,2개,25640,1몰,214원/1구미,프로바이오틱스
68791766,에이스바이옴 비에날퀸 60캡슐,1,526300,3몰,7개,"프로바이오틱스/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 체지방감소"
68791760,에이스바이옴 비에날퀸 60캡슐,2,453050,15몰,8개,"프로바이오틱스/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 체지방감소"
68791769,에이스바이옴 비에날퀸 60캡슐,10개,565510,7몰,943원/1정,"프로바이오틱스/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 체지방감소"
68692403,GNM자연의품격 혈당케어 앤 20억보장 유산균 350mg 30캡슐,1개,13420,57몰,447원/1캡슐,"프로바이오틱스/보장균수(CFU): 20억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 혈당조절"
68735795,GNM자연의품격 혈당케어 앤 20억보장 유산균 350mg 30캡슐,1,22010,61몰,2개,"프로바이오틱스/보장균수(CFU): 20억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 혈당조절"
68735798,GNM자연의품격 혈당케어 앤 20억보장 유산균 350mg 30캡슐,2,29790,58몰,3개,"프로바이오틱스/보장균수(CFU): 20억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 혈당조절"
68735804,GNM자연의품격 혈당케어 앤 20억보장 유산균 350mg 30캡슐,4개,40560,56몰,338원/1캡슐,"프로바이오틱스/보장균수(CFU): 20억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 혈당조절"
68735813,GNM자연의품격 혈당케어 앤 20억보장 유산균 350mg 30캡슐,5개,47330,2몰,316원/1캡슐,"프로바이오틱스/보장균수(CFU): 20억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 혈당조절"
68735810,GNM자연의품격 혈당케어 앤 20억보장 유산균 350mg 30캡슐,6개,58730,27몰,326원/1캡슐,"프로바이오틱스/보장균수(CFU): 20억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 혈당조절"
68692967,내추럴영 마더케어 프로바이오틱스 500mg 90캡슐,2개,38450,1몰,214원/1캡슐,"프로바이오틱스/섭취대상: 성인남녀/형태: 캡슐,정"
68599940,일동제약 비오비타 배배 골드 1.5g 30포,3개,67070,39몰,745원/1포,프로바이오틱스/프리바이오틱스
68402843,나우푸드 프리+프로 바이오틱스 30포,1,22550,9몰,1개,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/형태: 분말/특징: 스틱형/건강기능식품/기능성: 면역력 증진, 장 건강"
68402852,나우푸드 프리+프로 바이오틱스 30포,2,48940,3몰,2개,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/형태: 분말/특징: 스틱형/건강기능식품/기능성: 면역력 증진, 장 건강"
68402864,나우푸드 프리+프로 바이오틱스 30포,3개,66000,1몰,733원/1포,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/형태: 분말/특징: 스틱형/건강기능식품/기능성: 면역력 증진, 장 건강"
68270708,내츄럴플러스 100억 유산균 프로바이오틱스 플러스 500mg 30캡슐,9개,82900,1몰,307원/1캡슐,"프로바이오틱스/보장균수(CFU): 100억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강"
68081561,내츄럴플러스 기억력케어 앤 유산균 450mg 30캡슐,1,8890,154몰,1개,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/특징: 베지캡슐형/건강기능식품/기능성: 장 건강/플라보놀배당체36mg"
68366759,내츄럴플러스 기억력케어 앤 유산균 450mg 30캡슐,2개,20000,72몰,333원/1캡슐,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/특징: 베지캡슐형/건강기능식품/기능성: 장 건강/플라보놀배당체36mg"
68081573,내츄럴플러스 기억력케어 앤 유산균 450mg 30캡슐,2,25020,97몰,3개,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/특징: 베지캡슐형/건강기능식품/기능성: 장 건강/플라보놀배당체36mg"
68081579,내츄럴플러스 기억력케어 앤 유산균 450mg 30캡슐,5개,48900,2몰,326원/1캡슐,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/특징: 베지캡슐형/건강기능식품/기능성: 장 건강/플라보놀배당체36mg"
68081666,내츄럴플러스 기억력케어 앤 유산균 450mg 30캡슐,8개,73900,1몰,308원/1캡슐,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/특징: 베지캡슐형/건강기능식품/기능성: 장 건강/플라보놀배당체36mg"
67979843,내츄럴플러스 프로덴탈 구강유산균 플러스 1000mg 30정,5개,67940,29몰,453원/1정,"프로바이오틱스/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1정/섭취기간: 1개월분/형태: 캡슐,정/HACCP"
67853075,옹쌔므옹땜 이즈바디 500mg 30캡슐 + 이즈바디 플러스 500mg 30캡슐[12개],,1033600,1몰,,프로바이오틱스
67950116,뉴트리원 비비랩 다이어트 유산균 3.5g 14포,2,62540,3몰,2개,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 14일분/형태: 분말/특징: 스틱형/건강기능식품/기능성: 면역력 증진, 장 건강, 체지방감소, 항산화"
67950119,뉴트리원 비비랩 다이어트 유산균 3.5g 14포,1,87180,4몰,3개,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 14일분/형태: 분말/특징: 스틱형/건강기능식품/기능성: 면역력 증진, 장 건강, 체지방감소, 항산화"
